date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:18	13972/13972	---M--	200	added ('OK')	image/png	etag:%2211a019-3694-49a27268cb400%22	http://marakana.com/bookshelf/html5_tutorial/images/canvas_and_svg-scaling.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/html5_tutorial/images/canvas_and_svg-scaling.png	(from http://marakana.com/bookshelf/html5_tutorial/index.html)
20:25:23	23569/23569	---M--	200	added ('OK')	image/png	etag:%2211a042-5c11-497a207312500%22	http://marakana.com/bookshelf/html5_tutorial/images/geolocation-infobar.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/html5_tutorial/images/geolocation-infobar.png	(from http://marakana.com/bookshelf/html5_tutorial/index.html)
20:25:25	121017/121017	---M--	200	added ('OK')	image/png	etag:%2211a015-1d8b9-49a27268cb400%22	http://marakana.com/bookshelf/html5_tutorial/images/canvas_and_svg-green_leopard.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/html5_tutorial/images/canvas_and_svg-green_leopard.png	(from http://marakana.com/bookshelf/html5_tutorial/index.html)
20:25:27	23145/23145	---M--	200	added ('OK')	image/png	etag:%2211a04e-5a69-49d5c6ee69580%22	http://marakana.com/bookshelf/html5_tutorial/images/web_sockets-http_basic.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/html5_tutorial/images/web_sockets-http_basic.png	(from http://marakana.com/bookshelf/html5_tutorial/index.html)
20:25:31	31451/31451	---M--	200	added ('OK')	image/png	etag:%2211a052-7adb-49d5c6ee69580%22	http://marakana.com/bookshelf/html5_tutorial/images/web_sockets-polling.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/html5_tutorial/images/web_sockets-polling.png	(from http://marakana.com/bookshelf/html5_tutorial/index.html)
20:25:31	95122/95122	---M--	200	added ('OK')	image/png	etag:%2211a045-17392-497a207312500%22	http://marakana.com/bookshelf/html5_tutorial/images/offline_applications-event_flow.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/html5_tutorial/images/offline_applications-event_flow.png	(from http://marakana.com/bookshelf/html5_tutorial/index.html)
20:25:32	28926/28926	---M--	200	added ('OK')	image/png	etag:%2211a050-70fe-49d5c6ee69580%22	http://marakana.com/bookshelf/html5_tutorial/images/web_sockets-longpolling.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/html5_tutorial/images/web_sockets-longpolling.png	(from http://marakana.com/bookshelf/html5_tutorial/index.html)
20:25:37	35382/35382	---M--	200	added ('OK')	image/png	etag:%2211a04c-8a36-49d5c6ee69580%22	http://marakana.com/bookshelf/html5_tutorial/images/web_sockets-frames.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/html5_tutorial/images/web_sockets-frames.png	(from http://marakana.com/bookshelf/html5_tutorial/index.html)
20:25:49	308291/308291	---M--	200	added ('OK')	image/png	etag:%2211a016-4b443-49a11ef9ce100%22	http://marakana.com/bookshelf/html5_tutorial/images/canvas_and_svg-leopard.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/html5_tutorial/images/canvas_and_svg-leopard.png	(from http://marakana.com/bookshelf/html5_tutorial/index.html)
20:25:54	134665/134665	---M--	200	added ('OK')	image/png	etag:%22126018-20e09-49580a09f7580%22	http://marakana.com/bookshelf/java_fundamentals_tutorial/images/HelloWorld-CompileRun.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/java_fundamentals_tutorial/images/HelloWorld-CompileRun.png	(from http://marakana.com/bookshelf/java_fundamentals_tutorial/index.html)
20:25:54	129808/129808	---M--	200	added ('OK')	image/png	etag:%22126026-1fb10-49580a09f7580%22	http://marakana.com/bookshelf/java_fundamentals_tutorial/images/Primitives.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/java_fundamentals_tutorial/images/Primitives.png	(from http://marakana.com/bookshelf/java_fundamentals_tutorial/index.html)
20:26:35	284561/284561	---M--	200	added ('OK')	image/png	etag:%2212601a-45791-49f578084ca80%22	http://marakana.com/bookshelf/java_fundamentals_tutorial/images/javadoc_screen.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/java_fundamentals_tutorial/images/javadoc_screen.png	(from http://marakana.com/bookshelf/java_fundamentals_tutorial/index.html)
20:26:53	476001/476001	---M--	200	added ('OK')	image/png	etag:%2212602a-74361-49580a09f7580%22	http://marakana.com/bookshelf/java_fundamentals_tutorial/images/StackVsHeap.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/java_fundamentals_tutorial/images/StackVsHeap.png	(from http://marakana.com/bookshelf/java_fundamentals_tutorial/index.html)
20:26:54	370864/370864	---M--	200	added ('OK')	image/png	etag:%22126014-5a8b0-49580a09f7580%22	http://marakana.com/bookshelf/java_fundamentals_tutorial/images/ExceptionClassHierarchy.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/java_fundamentals_tutorial/images/ExceptionClassHierarchy.png	(from http://marakana.com/bookshelf/java_fundamentals_tutorial/index.html)
20:26:54	377244/377244	---M--	200	added ('OK')	image/png	etag:%22126019-5c19c-49f578084ca80%22	http://marakana.com/bookshelf/java_fundamentals_tutorial/images/javadoc_generation.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/java_fundamentals_tutorial/images/javadoc_generation.png	(from http://marakana.com/bookshelf/java_fundamentals_tutorial/index.html)
20:27:27	334810/334810	---M--	200	added ('OK')	image/png	etag:%22126030-51bda-49580a09f7580%22	http://marakana.com/bookshelf/java_fundamentals_tutorial/images/TryCatchFinally.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/java_fundamentals_tutorial/images/TryCatchFinally.png	(from http://marakana.com/bookshelf/java_fundamentals_tutorial/index.html)
20:27:27	195199/195199	---M--	200	added ('OK')	image/png	etag:%22126016-2fa7f-49580a09f7580%22	http://marakana.com/bookshelf/java_fundamentals_tutorial/images/FactoryMethodPattern.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/java_fundamentals_tutorial/images/FactoryMethodPattern.png	(from http://marakana.com/bookshelf/java_fundamentals_tutorial/index.html)
20:27:53	329891/329891	---M--	200	added ('OK')	image/png	etag:%2212600c-508a3-49580a09f7580%22	http://marakana.com/bookshelf/java_fundamentals_tutorial/images/AbstractFactoryPattern.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/java_fundamentals_tutorial/images/AbstractFactoryPattern.png	(from http://marakana.com/bookshelf/java_fundamentals_tutorial/index.html)
